idhh,id,name_latin,id_cg,pop_t_2014,log_t_2014,log_hosp_1k_2014,log_hosp_2k_2014,log_hosp_2k+_2014,delegation,firms
TN15E,TN15E,Grombelia,TS115D,67475,18504,9.30031496,34.24871016,56.45097488,1564,6689
TN15F,TN15F,Bouargoub,TS115E,30942,8199,4.937220538,2.159871543,92.90290792,1565,2070
TN15G,TN15G,Hammamet,TS115F,97855,41001,11.39023045,23.7590324,64.85073715,1566,10663
TN161,TN161,Zaghouan,TS1160,38445,11073,9.860640608,43.7257957,46.41356369,1651,3397
TN162,TN162,Ez Zeriba,TS1161,24617,7120,6.891462765,2.216848168,90.89168907,1652,1234
TN163,TN163,Bir Mchergua,TS1162,24387,6384,9.345952132,16.87127692,73.78277095,1653,1602
TN164,TN164,Elfahs,TS1163,46449,12954,20.85745567,29.60121068,49.54133365,1654,2682
TN165,TN165,En Nadhour,TS1164,30366,7618,18.43712812,18.53608658,63.0267853,1655,1721
TN166,TN166,Saouef,TS1165,12681,3214,0.249645653,1.569324098,98.18103025,1656,378
TN171,TN171,Bizerte Nord,TS1170,87307,29558,17.8619428,55.30510847,26.83294873,1751,11922
TN172,TN172,Zarzouna,TS1171,24793,7867,22.42209746,48.73869,28.83921254,1752,1718
TN173,TN173,Bizerte Sud,TS1172,55659,15395,8.365008917,35.00172358,56.63326751,1753,238
TN174,TN174,Sedjnene,TS1173,40166,10397,6.327138471,17.66975482,76.00310671,1754,1640
TN175,TN175,Djoumine,TS1174,29029,6717,10.61648517,7.167452034,82.2160628,1755,807
TN176,TN176,Mateur,TS1175,46975,12955,20.67580358,35.7346191,43.58957732,1756,3337
TN177,TN177,Ghezella,TS1176,26977,6821,3.115683479,1.383271191,95.50104533,1757,894
TN178,TN178,Menzel Bourguiba,TS1177,61919,18037,14.94616596,62.59655931,22.45727474,1758,4538
TN179,TN179,Tinja,TS1178,23455,7321,10.74370528,28.21745115,61.03884357,1759,1215
TN17A,TN17A,Utique,TS1179,19922,4995,5.649383546,6.48459293,87.86602352,1760,972
TN17B,TN17B,Ghar El Meleh,TS117A,19477,5916,6.134932705,5.910037277,87.95503002,1761,1139
